unique_id,mean_sales,total_sales,std_sales,zero_frac,so_days,so_hours,discount,cv
0_104,2.23,200.7,1.12114,0.0,0.4777777777777778,2.3333333,0.8127445,0.5027534
0_117,4.81,432.9,1.6574008,0.0,0.5,2.8777778,1.0,0.34457397
0_118,1.8377777,165.4,0.93419164,0.0,0.37777777777777777,2.2222223,0.86748886,0.50832677
0_122,1.1952223,107.57,0.74869657,0.0,0.45555555555555555,2.4666667,0.95492226,0.6264078
0_127,0.6433334,57.9,0.27521187,0.011111111111111112,0.35555555555555557,2.0777779,0.9855889,0.42779043
0_129,0.8055556,72.5,0.8949749,0.26666666666666666,0.8,9.355556,0.9993667,1.1110033
0_136,0.43555558,39.2,0.25673452,0.03333333333333333,0.5,4.3444443,0.8104667,0.5894415
0_166,1.6907778,152.17,0.7689424,0.0,0.4888888888888889,2.7777777,0.9997444,0.4547862
0_18,0.41311112,37.18,0.31752074,0.044444444444444446,0.5222222222222223,3.9444444,0.9991778,0.76860857
0_19,1.0766667,96.9,0.52232194,0.03333333333333333,0.6333333333333333,4.633333,0.9990778,0.4851287
0_190,1.2477778,112.3,0.5306828,0.044444444444444446,0.37777777777777777,2.2222223,0.9995111,0.42530233
0_193,0.6,54.0,0.27478287,0.03333333333333333,0.25555555555555554,2.011111,0.8477111,0.45797142
0_194,0.45333332,40.8,0.2992162,0.022222222222222223,0.45555555555555555,2.6777778,0.9717778,0.6600358
0_201,0.6682222,60.14,0.3804036,0.07777777777777778,0.4111111111111111,3.488889,0.9851642,0.5692771
0_207,0.98933333,89.04,0.48666903,0.011111111111111112,0.4444444444444444,2.8777778,0.8878222,0.49191615
0_21,0.7077778,63.7,0.3678751,0.011111111111111112,0.6111111111111112,4.5,0.98675555,0.5197607
0_214,0.50555557,45.5,0.24838856,0.0,0.2777777777777778,1.9777777,0.9397444,0.49131802
0_215,2.9933333,269.4,1.3839206,0.0,0.8,4.922222,0.73261106,0.46233425
0_223,1.4377778,129.4,0.5038231,0.0,0.34444444444444444,1.6,0.84392226,0.35041794
0_23,0.64244443,57.82,0.45153996,0.05555555555555555,0.4,3.4,0.9550223,0.7028467
0_253,0.47044444,42.34,0.22801493,0.011111111111111112,0.2111111111111111,1.6888889,0.9099111,0.48467982
0_259,0.4811111,43.3,0.30312768,0.08888888888888889,0.4111111111111111,3.2333333,0.9994444,0.6300575
0_26,0.7646667,68.82,0.30543098,0.022222222222222223,0.5666666666666667,3.6111112,0.9122222,0.39943022
0_291,0.7616667,68.55,0.350474,0.011111111111111112,0.6111111111111112,3.5333333,0.90425557,0.46014088
0_296,1.1928889,107.36,0.42343497,0.0,0.4444444444444444,2.5,0.8267778,0.35496598
0_300,3.6735556,330.62,1.7268113,0.044444444444444446,0.5333333333333333,3.511111,0.9964333,0.4700654
0_310,1.2711111,114.4,0.5199145,0.0,0.5333333333333333,2.9222221,0.9990889,0.40902364
0_345,0.4537778,40.84,0.26368424,0.03333333333333333,0.43333333333333335,3.0444446,0.8890778,0.5810867
0_370,0.69555557,62.6,0.30164757,0.0,0.4888888888888889,3.4333334,0.9985556,0.43367863
0_379,0.43666667,39.3,0.33333522,0.07777777777777778,0.7666666666666667,7.2222223,0.9663445,0.7633631
0_38,0.43666667,39.3,0.8340304,0.2222222222222222,0.36666666666666664,2.6,0.90723854,1.9099933
0_4,2.701111,243.1,2.5563095,0.03333333333333333,0.4222222222222222,2.5,0.86972624,0.9463918
0_41,0.8031111,72.28,0.6930273,0.16666666666666666,0.6777777777777778,7.5333333,0.8772667,0.86292833
0_411,0.39666668,35.7,0.38407922,0.2111111111111111,0.3333333333333333,4.2777777,0.8528635,0.9682669
0_419,0.48077777,43.27,0.28719968,0.0,0.3888888888888889,2.2777777,0.93144447,0.5973647
0_439,0.43,38.7,0.4853934,0.15555555555555556,0.3,2.211111,0.9994444,1.1288218
0_486,2.2822223,205.4,0.96774703,0.0,0.45555555555555555,2.5666666,0.75098896,0.42403716
0_489,0.66444445,59.8,0.38227913,0.05555555555555555,0.4,2.9666667,0.8090266,0.57533646
0_496,0.6563333,59.07,0.2779356,0.0,0.5666666666666667,2.8,0.9463666,0.42346713
0_500,0.6766667,60.9,0.4170657,0.011111111111111112,0.5111111111111111,3.9,0.6541334,0.6163533
0_548,0.5781111,52.03,0.30189252,0.011111111111111112,0.4111111111111111,1.7111111,0.92451113,0.522205
0_554,0.6271111,56.44,0.3832365,0.05555555555555555,0.45555555555555555,4.1555557,0.9298889,0.6111142
0_567,1.1211112,100.9,0.3799747,0.0,0.3888888888888889,1.8888888,0.79513335,0.33892688
0_578,0.65533334,58.98,0.28086624,0.0,0.43333333333333335,2.6555555,0.92675555,0.4285853
0_580,1.8011112,162.1,0.6721581,0.0,0.6333333333333333,3.8555555,0.9602222,0.3731908
0_596,1.1688888,105.2,0.67751104,0.0,0.6333333333333333,3.3444445,0.9099,0.57961977
0_6,0.8388889,75.5,0.4696866,0.022222222222222223,0.6333333333333333,4.0111113,0.7540111,0.5598913
0_600,0.67777777,61.0,0.3815338,0.011111111111111112,0.7333333333333333,5.7444444,0.97581106,0.5629187
0_631,0.7043333,63.39,0.29889327,0.0,0.43333333333333335,2.8888888,0.96015555,0.4243634
0_633,0.42644447,38.38,0.21182625,0.011111111111111112,0.6,4.5333333,0.8184244,0.49672645
0_635,0.43644443,39.28,0.28963482,0.022222222222222223,0.4666666666666667,2.9666667,0.8532,0.6636236
0_638,0.55655557,50.09,0.3093166,0.05555555555555555,0.4666666666666667,3.1777778,0.83816665,0.5557695
0_644,0.75777775,68.2,0.46831703,0.022222222222222223,0.5333333333333333,3.2222223,0.75923336,0.6180137
0_672,0.4018889,36.170002,0.30843166,0.0,0.3111111111111111,2.2222223,0.7705333,0.767455
0_686,0.42,37.8,0.18371938,0.022222222222222223,0.6555555555555556,3.1444445,0.9219555,0.4374271
0_691,4.172222,375.5,1.4886105,0.011111111111111112,0.4222222222222222,2.3222222,0.97171116,0.3567908
0_699,0.60888886,54.8,0.33841816,0.03333333333333333,0.4222222222222222,2.5444446,0.9527311,0.55579627
0_70,4.2633333,383.7,1.6850599,0.011111111111111112,0.4777777777777778,2.8,1.0,0.3952447
0_712,1.7877777,160.9,0.83824694,0.03333333333333333,0.3111111111111111,2.7666667,0.9933444,0.4688765
0_719,0.42933333,38.64,0.19367991,0.011111111111111112,0.5111111111111111,3.0666666,0.9998556,0.4511178
0_72,0.48344448,43.510002,0.25226238,0.022222222222222223,0.3,1.9333333,0.9925889,0.5218022
0_740,0.7033333,63.3,0.3206209,0.011111111111111112,0.7111111111111111,4.2222223,0.9843667,0.4558591
0_76,1.1622221,104.6,0.5912428,0.044444444444444446,0.4666666666666667,3.5666666,0.92608887,0.50871754
0_764,0.4831111,43.48,0.27067807,0.044444444444444446,0.35555555555555557,2.6777778,0.9408699,0.5602812
0_769,1.0488889,94.4,0.4298535,0.0,0.4,1.8111111,0.7255333,0.40981793
0_775,1.621111,145.9,0.57893634,0.0,0.4222222222222222,1.8666667,0.83571106,0.3571232
0_783,0.7411111,66.7,0.4197095,0.022222222222222223,0.28888888888888886,2.8666666,0.8410889,0.56632465
0_796,1.0655556,95.9,0.531092,0.022222222222222223,0.4222222222222222,3.088889,0.8057777,0.4984179
0_806,0.41555557,37.4,0.26854208,0.07777777777777778,0.5333333333333333,4.2444444,0.9989,0.64622426
0_810,0.8605555,77.45,0.5123472,0.044444444444444446,0.5,3.8777778,0.9447778,0.59536797
0_834,1.2944444,116.5,0.8127303,0.044444444444444446,0.8666666666666667,9.0,0.9985889,0.6278603
0_843,0.49144444,44.23,0.25100052,0.011111111111111112,0.43333333333333335,2.9444444,0.92340004,0.5107404
0_90,1.2628889,113.66,1.0174502,0.14444444444444443,0.5111111111111111,5.322222,0.88312227,0.805653
0_93,0.6152222,55.37,0.24791366,0.0,0.5222222222222223,2.8777778,0.9242,0.40296605
100_104,1.9055556,171.5,1.0002652,0.0,0.4666666666666667,2.3333333,0.8128666,0.5249205
100_108,0.5306667,47.760002,0.30969647,0.022222222222222223,0.4444444444444444,3.6666667,0.8737444,0.5835988
100_115,0.45833334,41.25,0.3450395,0.16666666666666666,0.18888888888888888,2.1777778,0.9847555,0.7528134
100_116,1.0488889,94.4,0.5524703,0.03333333333333333,0.43333333333333335,3.1333334,0.8886111,0.52671957
100_117,3.8577778,347.2,1.721704,0.03333333333333333,0.6,3.9555554,1.0,0.44629425
100_118,1.3166667,118.5,0.6988353,0.03333333333333333,0.3888888888888889,2.0666666,0.86714447,0.530761
100_119,1.5877777,142.9,0.5846016,0.011111111111111112,0.4888888888888889,2.5777779,0.7562667,0.36818856
100_12,0.41333336,37.2,0.21733834,0.022222222222222223,0.43333333333333335,3.3,0.9471556,0.5258185
100_122,1.2473334,112.26,0.796104,0.011111111111111112,0.5555555555555556,3.3777778,0.95097774,0.63824475
100_127,0.76222223,68.6,0.37071985,0.022222222222222223,0.35555555555555557,2.0333333,0.9838,0.48636714
100_129,0.91,81.9,0.75848013,0.15555555555555556,0.6777777777777778,6.7444444,0.9991222,0.8334946
100_135,0.44533336,40.08,0.21150716,0.011111111111111112,0.23333333333333334,1.9777777,0.9936445,0.4749412
100_136,0.42111114,37.9,0.19631118,0.022222222222222223,0.5333333333333333,4.0444446,0.8129514,0.46617427
100_140,0.54444444,49.0,0.27888668,0.022222222222222223,0.43333333333333335,3.1888888,0.7869889,0.5122408
100_17,0.50555557,45.5,0.23095362,0.03333333333333333,0.28888888888888886,2.0777779,0.9920111,0.4568313
100_19,1.5555556,140.0,0.6520686,0.022222222222222223,0.6444444444444445,4.866667,0.9991222,0.41918695
100_190,0.6611111,59.5,0.36371815,0.08888888888888889,0.4222222222222222,3.0555556,0.99983335,0.5501619
100_193,0.6533333,58.8,0.22545832,0.0,0.2222222222222222,1.9777777,0.84723336,0.3450893
100_201,0.808,72.72,0.39058354,0.0,0.35555555555555557,2.4444444,0.9954778,0.48339546
100_207,0.8388889,75.5,0.3916816,0.011111111111111112,0.3888888888888889,2.1888888,0.88702226,0.46690524
100_21,0.53333336,48.0,0.25173554,0.022222222222222223,0.5777777777777777,3.6888888,0.97474444,0.47200412
100_212,0.46733335,42.06,0.21060532,0.011111111111111112,0.4666666666666667,2.6888888,0.92454445,0.4506533
100_215,2.338889,210.5,1.1330276,0.03333333333333333,0.7666666666666667,5.1666665,0.7328889,0.48442984
100_218,0.4608889,41.48,0.25476864,0.011111111111111112,0.32222222222222224,2.3111112,0.9879556,0.5527767
100_222,0.49777776,44.8,0.18419443,0.0,0.35555555555555557,2.0777779,1.0,0.37003347
100_223,0.64111114,57.7,0.26431784,0.0,0.4111111111111111,2.1888888,0.84556663,0.41228086
100_23,0.5561111,50.05,0.3554383,0.03333333333333333,0.4111111111111111,3.211111,0.9545778,0.6391498
100_240,0.9547778,85.93,0.47142678,0.0,0.4111111111111111,2.711111,0.9865,0.49375552
100_250,0.70155555,63.14,0.36861694,0.011111111111111112,0.3888888888888889,2.988889,0.9713,0.525428
100_253,0.4488889,40.4,0.22845079,0.022222222222222223,0.18888888888888888,1.3777778,0.91987777,0.508925
100_26,0.6946667,62.52,0.300902,0.022222222222222223,0.4111111111111111,2.8111112,0.9158333,0.43316028
100_291,0.5223334,47.010002,0.24512804,0.0,0.5222222222222223,3.4666667,0.90440005,0.46929422
100_296,0.7453334,67.08,0.34039038,0.0,0.4444444444444444,2.7222223,0.8260111,0.45669547
100_300,4.777,429.93,2.2978337,0.022222222222222223,0.5666666666666667,3.9222221,0.99649996,0.48102024
100_345,0.64144444,57.73,0.28337675,0.011111111111111112,0.4111111111111111,2.8333333,0.8890333,0.4417791
100_363,0.82733333,74.46,0.3958714,0.03333333333333333,0.3333333333333333,2.0444446,0.9511111,0.47849083
100_37,0.5511111,49.6,0.5858336,0.08888888888888889,0.28888888888888886,2.8444445,0.93043333,1.0630045
100_370,0.76111114,68.5,0.35905445,0.0,0.43333333333333335,3.1,0.9983,0.47175035
100_374,0.41000003,36.9,0.16667266,0.0,0.32222222222222224,2.5444446,0.98616666,0.40651867
100_38,0.42333332,38.1,0.9217777,0.3,0.35555555555555557,3.288889,0.8921018,2.1774278
100_396,0.69344443,62.41,0.4000089,0.0,0.2111111111111111,1.8777778,0.99906665,0.57684344
100_4,2.2055554,198.5,2.0236444,0.03333333333333333,0.36666666666666664,2.6333334,0.8773536,0.9175215
100_41,1.0582222,95.24,0.72507817,0.06666666666666667,0.3,3.1111112,0.87087774,0.6851852
100_411,0.57111114,51.4,0.4495302,0.14444444444444443,0.24444444444444444,2.9,0.8368611,0.7871151
100_414,0.5517778,49.66,0.2580897,0.011111111111111112,0.36666666666666664,1.9555556,0.9230333,0.4677421
100_419,0.6797778,61.18,0.29824573,0.0,0.3888888888888889,2.6444445,0.9568222,0.43874002
100_426,0.77111113,69.4,0.43323824,0.011111111111111112,0.3,2.1222222,0.9479539,0.5618363
100_468,0.7963333,71.67,0.649993,0.0,0.25555555555555554,1.5777777,0.97966665,0.8162323
100_473,0.4177778,37.600002,0.19289503,0.022222222222222223,0.37777777777777777,3.0,0.92913353,0.46171677
100_478,0.41200003,37.08,0.21984264,0.044444444444444446,0.3,2.0555556,0.7960333,0.5335986
100_481,1.4311111,128.8,0.54311717,0.0,0.4666666666666667,2.6888888,0.9977222,0.37950733
100_486,1.6933333,152.4,0.65098023,0.0,0.4777777777777778,2.7444444,0.75156665,0.38443717
100_500,0.91888887,82.7,0.67155606,0.03333333333333333,0.34444444444444444,2.711111,0.6524,0.7308349
100_515,0.5644444,50.8,0.2532091,0.0,0.32222222222222224,2.1888888,0.9207555,0.44859883
100_549,0.9266667,83.4,0.45784056,0.03333333333333333,0.2777777777777778,2.288889,0.97138894,0.49407256
100_554,0.9122222,82.1,0.47234243,0.0,0.43333333333333335,3.9444444,0.9308556,0.5177932
100_567,0.8122222,73.1,0.35468858,0.0,0.3888888888888889,1.9,0.79604447,0.4366891
100_578,1.0463333,94.17,0.41126946,0.0,0.4111111111111111,3.0666666,0.97397774,0.3930578
100_58,0.40011114,36.010002,0.2282493,0.011111111111111112,0.5222222222222223,3.1444445,0.9637778,0.57046473
100_580,1.4866667,133.8,0.6684209,0.0,0.7444444444444445,4.4333334,0.96209997,0.44961047
100_596,1.2444445,112.0,0.64600956,0.0,0.6444444444444445,3.9444444,0.9053778,0.5191148
100_6,0.6311111,56.8,0.3224361,0.0,0.5222222222222223,3.2222223,0.7651333,0.5109023
100_600,0.7588889,68.3,0.50143486,0.0,0.6333333333333333,5.177778,0.9742333,0.6607487
100_638,0.50755554,45.68,0.24952228,0.011111111111111112,0.4,2.5666666,0.8355195,0.4916157
100_644,0.5788889,52.100002,0.41583663,0.03333333333333333,0.43333333333333335,2.7777777,0.7426444,0.7183358
100_645,0.5547778,49.93,0.519726,0.0,0.4222222222222222,2.988889,0.9837445,0.93681824
100_650,0.52888894,47.600002,0.28570607,0.05555555555555555,0.3,2.7,0.8949,0.54020053
100_666,1.39,125.1,0.48506922,0.0,0.4888888888888889,2.511111,0.97437775,0.34897065
100_677,0.42333332,38.1,0.24241297,0.03333333333333333,0.37777777777777777,2.511111,0.99935555,0.5726291
100_688,0.4466667,40.2,0.22495942,0.0,0.28888888888888886,2.0555556,0.9299333,0.5036405
100_70,3.7033331,333.3,1.3100691,0.011111111111111112,0.5555555555555556,3.5333333,0.94915557,0.35375404
100_71,1.1345556,102.11,0.50563824,0.011111111111111112,0.32222222222222224,1.6444445,0.8854334,0.44567075
100_715,0.46966666,42.27,0.281251,0.022222222222222223,0.3,2.1333334,0.95577776,0.5988311
100_728,0.59000003,53.100002,0.26818156,0.0,0.35555555555555557,2.5777779,0.9903333,0.454545
100_74,0.40066668,36.06,0.2006887,0.0,0.7444444444444445,4.4555554,0.9815111,0.5008869
100_740,0.77000004,69.3,0.32375953,0.0,0.5333333333333333,3.3777778,0.98554444,0.4204669
100_76,1.0461111,94.15,0.45557642,0.011111111111111112,0.34444444444444444,2.5,0.9258445,0.43549526
100_764,0.42277777,38.05,0.22453962,0.05555555555555555,0.34444444444444444,2.2777777,0.9363445,0.5311056
100_765,0.4061111,36.55,0.1790091,0.022222222222222223,0.28888888888888886,2.3222222,0.9708925,0.44078848
100_769,0.99,89.1,0.36506116,0.0,0.34444444444444444,2.088889,0.72518885,0.36874864
100_77,0.58077776,52.27,0.2555814,0.03333333333333333,0.5555555555555556,4.788889,0.8804667,0.44006747
100_774,0.5563333,50.07,0.29089728,0.044444444444444446,0.36666666666666664,2.8666666,0.9655222,0.5228831
100_783,1.0355555,93.2,0.515885,0.05555555555555555,0.3111111111111111,2.7777777,0.8429222,0.49817225
100_797,0.42333335,38.100002,0.28719878,0.07777777777777778,0.4777777777777778,3.788889,0.6940333,0.6784223
100_810,1.3866667,124.8,0.53194577,0.03333333333333333,0.35555555555555557,2.8666666,0.95335555,0.38361475
100_834,1.4244444,128.2,0.85160935,0.03333333333333333,0.8333333333333334,7.766667,0.9959889,0.59785366
100_84,0.54977775,49.48,0.2585916,0.022222222222222223,0.45555555555555555,3.8555555,0.89681107,0.4703566
100_847,0.43044445,38.74,0.23930569,0.044444444444444446,0.3888888888888889,3.0222223,0.9898222,0.5559502
100_853,0.5718889,51.47,0.224654,0.022222222222222223,0.28888888888888886,2.0555556,0.86926466,0.39282805
100_93,0.4148889,37.34,0.17736678,0.0,0.4666666666666667,2.8222222,0.90083337,0.4275043
100_99,0.5096667,45.87,0.34557378,0.022222222222222223,0.3333333333333333,2.4555554,0.861348,0.6780388
